,Annotations
group00039,"['putative transmembrane protein', 'Proposed peptidoglycan lipid II flippase MurJ', 'None Provided']; ['Proposed peptidoglycan lipid II flippase MurJ', 'hypothetical protein']; ['Proposed peptidoglycan lipid II flippase MurJ']; ['None Provided', 'None Provided']; ['Proposed peptidoglycan lipid II flippase MurJ', 'Proposed peptidoglycan lipid II flippase MurJ']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group00040,"['ATP-dependent DNA helicase RecG (EC 3.6.1.-)', 'ATP-dependent DNA helicase RecG (EC 3.6.1.-)']; ['ATP-dependent DNA helicase RecG (EC 3.6.1.-)']"
group00041,"['Chromosome partition protein smc', 'Chromosome partition protein smc']; ['Chromosome partition protein smc']"
group00042,"['Mrp protein homolog']; ['Scaffold protein for [4Fe-4S] cluster assembly ApbC, MRP-like']; ['Scaffold protein for [4Fe-4S] cluster assembly ApbC, MRP-like', 'Scaffold protein for [4Fe-4S] cluster assembly ApbC, MRP-like']; ['Mrp protein homolog', 'Mrp protein homolog']"
group00043,"['2-methylcitrate synthase (EC 2.3.3.5)', 'Citrate synthase (si) (EC 2.3.3.1)']; ['Citrate synthase (si) (EC 2.3.3.1)', 'Citrate synthase (si) (EC 2.3.3.1)']; ['2-methylcitrate synthase (EC 2.3.3.5)']; ['Citrate synthase (si) (EC 2.3.3.1)']; ['Citrate synthase (si) (EC 2.3.3.1)', 'Citrate synthase (si) (EC 2.3.3.1)', '2-methylcitrate synthase (EC 2.3.3.5)']"
group00044,"['Enolase (EC 4.2.1.11)']; ['Enolase (EC 4.2.1.11)', 'Enolase (EC 4.2.1.11)']"
group00045,"['None Provided']; ['Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)']"
group00046,"['Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2', 'Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2']; ['Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2', 'Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2', 'Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2', 'Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2']; ['Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2']"
group00047,"['Aconitate hydratase (EC 4.2.1.3)', 'Aconitate hydratase (EC 4.2.1.3)']; ['Aconitate hydratase (EC 4.2.1.3)', 'Aconitate hydratase (EC 4.2.1.3)', 'Aconitate hydratase (EC 4.2.1.3)', 'Aconitate hydratase (EC 4.2.1.3)']; ['None Provided', 'Aconitate hydratase (EC 4.2.1.3)']; ['Aconitate hydratase (EC 4.2.1.3)', 'Aconitate hydratase (EC 4.2.1.3)', 'Aconitate hydratase (EC 4.2.1.3)']; ['Aconitate hydratase (EC 4.2.1.3)']"
group00048,"['Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)']; ['Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)', 'Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)']"
group00049,"['None Provided']; ['None Provided', 'Nucleoside ABC transporter, periplasmic nucleoside-binding protein']; ['Nucleoside ABC transporter, periplasmic nucleoside-binding protein']; ['hypothetical protein', 'Nucleoside ABC transporter, periplasmic nucleoside-binding protein']; ['None Provided', 'hypothetical protein', 'Nucleoside ABC transporter, periplasmic nucleoside-binding protein', 'None Provided', 'Nucleoside ABC transporter, periplasmic nucleoside-binding protein']; ['Nucleoside ABC transporter, periplasmic nucleoside-binding protein', 'Nucleoside ABC transporter, periplasmic nucleoside-binding protein']; ['Unspecified monosaccharide ABC transport system, substrate-binding component', 'Unspecified monosaccharide ABC transport system, substrate-binding component', 'hypothetical protein']; ['Nucleoside ABC transporter, periplasmic nucleoside-binding protein', 'Surface lipoprotein']; ['hypothetical protein']; ['basic membrane lipoprotein']; ['None Provided', 'Surface lipoprotein']"
group00050,"['Glutamate synthase [NADPH] large chain (EC 1.4.1.13)', 'Glutamate synthase [NADPH] large chain (EC 1.4.1.13)']; ['Glutamate synthase [NADPH] large chain (EC 1.4.1.13)']; ['Glutamate synthase [NADPH] large chain (EC 1.4.1.13)', 'Glutamate synthase [NADPH] large chain (EC 1.4.1.13)', 'Glutamate synthase [NADPH] large chain (EC 1.4.1.13)']"
group00051,['Phosphate regulon transcriptional regulatory protein PhoB (SphR)']
group00052,"['None Provided']; ['Butyryl-CoA dehydrogenase (EC 1.3.8.1)', 'Butyryl-CoA dehydrogenase (EC 1.3.8.1)']; ['Glutaryl-CoA dehydrogenase (EC 1.3.99.7)', 'Butyryl-CoA dehydrogenase (EC 1.3.8.1)']; ['Butyryl-CoA dehydrogenase (EC 1.3.8.1)']; ['Butyryl-CoA dehydrogenase (EC 1.3.99.2)']; ['Glutaryl-CoA dehydrogenase (EC 1.3.99.7)']"
group00053,"['NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)']; ['NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)', 'NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)']"
group00054,"['Valyl-tRNA synthetase (EC 6.1.1.9)']; ['Valyl-tRNA synthetase (EC 6.1.1.9)', 'Valyl-tRNA synthetase (EC 6.1.1.9)']"
group00055,"['Peptide chain release factor 1', 'Peptide chain release factor 1']; ['Peptide chain release factor 1']; ['Peptide chain release factor 1', 'Peptide chain release factor 1', 'Peptide chain release factor 1', 'Peptide chain release factor 1']; ['Peptide chain release factor 1', 'None Provided']"
group00056,"['Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)', 'Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)']; ['Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)']"
group00057,"['ATP-dependent DNA helicase UvrD/PcrA']; ['ATP-dependent DNA helicase UvrD/PcrA', 'ATP-dependent DNA helicase UvrD/PcrA']"
group00058,"['NAD-dependent formate dehydrogenase beta subunit']; ['NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)']; ['NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)', 'NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)']; ['NAD-dependent formate dehydrogenase beta subunit', 'NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)']"
group00059,"['Alanyl-tRNA synthetase (EC 6.1.1.7)', 'Alanyl-tRNA synthetase (EC 6.1.1.7)']; ['Alanyl-tRNA synthetase (EC 6.1.1.7)']"
group00060,"['Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)', 'Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)', 'Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)']; ['Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)', 'Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)']; ['Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)']"
group00061,"['NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)', 'NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)']; ['NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)']"
group00062,"['UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)', 'UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)']; ['UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)']"
group00063,"['Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)', 'Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)']; ['Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)']"
group00064,"['3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)', '3-ketoacyl-CoA thiolase (EC 2.3.1.16)', '3-ketoacyl-CoA thiolase (EC 2.3.1.16)']; ['3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)', '3-ketoacyl-CoA thiolase (EC 2.3.1.16)']; ['3-ketoacyl-CoA thiolase (EC 2.3.1.16)']"
group00065,"['None Provided']; ['Phosphate starvation-inducible protein PhoH, predicted ATPase', 'Phosphate starvation-inducible protein PhoH, predicted ATPase']; ['Phosphate starvation-inducible protein PhoH, predicted ATPase']"
group00066,"['Chaperone protein DnaJ']; ['Chaperone protein DnaJ', 'Chaperone protein DnaJ']"
group00067,"['Translation elongation factor LepA', 'Translation elongation factor LepA']; ['Translation elongation factor LepA']"
group00068,"['1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)', '1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)']; ['Transketolase, C-terminal section (EC 2.2.1.1)']; ['1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)']; ['1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)', '1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)', '1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)', '1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)']"
group00069,"['Acetyl-coenzyme A synthetase (EC 6.2.1.1)', 'Acetyl-coenzyme A synthetase (EC 6.2.1.1)']; ['Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases']; ['Acetyl-coenzyme A synthetase (EC 6.2.1.1)']"
group00070,"['None Provided']; ['Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)', 'Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)']; ['Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)']"
group00071,"['Xylulose kinase (EC 2.7.1.17)', 'Xylulose kinase (EC 2.7.1.17)']; ['None Provided', 'Glycerol kinase (EC 2.7.1.30)']; ['Glycerol kinase (EC 2.7.1.30)']; ['Xylulose kinase (EC 2.7.1.17)', 'None Provided']; ['Glycerol kinase (EC 2.7.1.30)', 'Glycerol kinase (EC 2.7.1.30)']; ['Glycerol kinase (EC 2.7.1.30)', 'carbohydrate kinase, FGGY']; ['Carbohydrate kinase, FGGY']; ['Glycerol kinase (EC 2.7.1.30)', 'Carbohydrate kinase, FGGY']; ['hypothetical protein']; ['Xylulose kinase (EC 2.7.1.17)']"
group00072,"['Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)', 'Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)']; ['Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)']"
group00073,"['Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)', 'Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)']; ['Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)']"
group00074,"['tRNA nucleotidyltransferase (EC 2.7.7.27)']; ['tRNA nucleotidyltransferase (EC 2.7.7.27)', 'tRNA nucleotidyltransferase (EC 2.7.7.27)']"
group00075,"['Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)', 'Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)']; ['hypothetical protein']; ['Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)']"
group00076,"['None Provided']; ['Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)', 'Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)']; ['Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)']"
group00077,"['Nitrogen regulatory protein P-II', 'Nitrogen regulatory protein P-II']; ['Nitrogen regulatory protein P-II']"
group00078,"['GTP-binding protein Obg', 'GTP-binding protein Obg']; ['GTP-binding protein Obg']"
group00079,"['5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)', '5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)']; ['5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)']; ['5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)', '5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)', '5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)']"
group00080,"['Excinuclease ABC subunit A', 'Excinuclease ABC subunit A']; ['Excinuclease ABC subunit A']"
group00081,"['Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)', 'Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)']; ['Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)']"
group00082,"['None Provided']; ['Dihydroorotase (EC 3.5.2.3)', 'Dihydroorotase (EC 3.5.2.3)']; ['Dihydroorotase (EC 3.5.2.3)']"
group00083,"['NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)', 'NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)']; ['NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)']"
group00084,"['tRNA-i(6)A37 methylthiotransferase']; ['tRNA-i(6)A37 methylthiotransferase', 'tRNA-i(6)A37 methylthiotransferase']"
group00085,"['Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)', 'Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)']; ['Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)']"
group00086,"['tRNA dimethylallyltransferase (EC 2.5.1.75)']; ['tRNA dimethylallyltransferase (EC 2.5.1.75)', 'tRNA dimethylallyltransferase (EC 2.5.1.75)']"
group00087,"['Thioredoxin reductase (EC 1.8.1.9)', 'Thioredoxin reductase (EC 1.8.1.9)']; ['Thioredoxin reductase (EC 1.8.1.9)']"
group00088,"['Isoleucyl-tRNA synthetase (EC 6.1.1.5)', 'Isoleucyl-tRNA synthetase (EC 6.1.1.5)']; ['None Provided']; ['Isoleucyl-tRNA synthetase (EC 6.1.1.5)']"
group00089,"['None Provided']; ['Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)', 'None Provided']; ['Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)']; ['Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)', 'Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)']"
group00090,['None Provided']; ['hypothetical protein']; ['DNA-binding protein HU-beta']
group00091,"['Diaminopimelate decarboxylase (EC 4.1.1.20)', 'Diaminopimelate decarboxylase (EC 4.1.1.20)']; ['Diaminopimelate decarboxylase (EC 4.1.1.20)']"
group00092,"['Transcription termination factor Rho']; ['Transcription termination factor Rho', 'Transcription termination factor Rho']; ['Transcription termination factor Rho', 'Transcription termination factor Rho', 'Transcription termination factor Rho']"
group00093,"['LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent', 'LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent', 'LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent', 'LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent']; ['LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent']; ['LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent', 'LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent']; ['LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent', 'LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent']; ['LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent']"
group00094,"['Phosphate transport system permease protein PstC (TC 3.A.1.7.1)']; ['Phosphate transport system permease protein PstC (TC 3.A.1.7.1)', 'Phosphate transport system permease protein PstC (TC 3.A.1.7.1)']"
group00095,"['Transcription termination protein NusB', 'Transcription termination protein NusB', 'Transcription termination protein NusB']; ['Transcription termination protein NusB', 'Transcription termination protein NusB']; ['Transcription termination protein NusB']"
group00096,"['Integral membrane protein TerC']; ['Integral membrane protein TerC', 'Integral membrane protein TerC']; ['Integral membrane protein TerC', 'Integral membrane protein TerC', 'Integral membrane protein TerC']"
group00097,"['UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)', 'UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)']; ['UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)']; ['UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)']"
group00098,"['Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)', 'Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)']; ['Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)']"
group00099,"['4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)', '4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)']; ['4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)']"
group00100,"['None Provided']; ['Ribonuclease J2 (endoribonuclease in RNA processing)', 'Ribonuclease J2 (endoribonuclease in RNA processing)']; ['Ribonuclease J2 (endoribonuclease in RNA processing)']"
group00101,"['Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)']; ['Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)', 'Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)']"
group00102,"['D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)', 'None Provided', 'D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)']; ['Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD']; ['None Provided']; ['D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)', 'D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)']; ['Predicted D-lactate dehydrogenase, Fe-S protein, FAD/FMN-containing']; ['Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD', 'D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)']; ['Glycolate oxidase subunit']; ['Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD', 'Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD']; ['D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)']; ['Predicted D-lactate dehydrogenase, Fe-S protein, FAD/FMN-containing', 'None Provided']; ['Predicted D-lactate dehydrogenase, Fe-S protein, FAD/FMN-containing', 'Predicted D-lactate dehydrogenase, Fe-S protein, FAD/FMN-containing']"
group00103,"['Thioredoxin', 'Thioredoxin']; ['Thioredoxin']"
group00104,['Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)']
group00105,"['Cysteine desulfurase (EC 2.8.1.7)', 'Cysteine desulfurase (EC 2.8.1.7)']; ['Cysteine desulfurase (EC 2.8.1.7)']; ['Cysteine desulfurase (EC 2.8.1.7)', 'Cysteine desulfurase (EC 2.8.1.7)', 'Cysteine desulfurase (EC 2.8.1.7)']"
group00106,"['Histidyl-tRNA synthetase (EC 6.1.1.21)', 'Histidyl-tRNA synthetase (EC 6.1.1.21)']; ['Histidyl-tRNA synthetase (EC 6.1.1.21)']"
group00107,"['Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)', 'Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)']; ['Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)', 'Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)']; ['Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)']"
group00108,"['None Provided']; ['Membrane alanine aminopeptidase N (EC 3.4.11.2)']; ['Membrane alanine aminopeptidase N (EC 3.4.11.2)', 'None Provided']; ['Membrane alanine aminopeptidase N (EC 3.4.11.2)', 'Membrane alanine aminopeptidase N (EC 3.4.11.2)']"
group00109,"['D-alanine--D-alanine ligase (EC 6.3.2.4)']; ['D-alanine--D-alanine ligase (EC 6.3.2.4)', 'D-alanine--D-alanine ligase (EC 6.3.2.4)']"
group00110,"['None Provided']; ['Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)']; ['16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)']; ['None Provided', 'None Provided']; ['None Provided', '16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)']; ['hypothetical protein', 'None Provided']"
group00111,"['Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type', 'Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type']; ['Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type']"
