,Annotation
group00446,Site-specific tyrosine recombinase XerD
group00447,Segregation and condensation protein B
group00448,NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)
group00449,NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)
group00450,Acetolactate synthase small subunit (EC 2.2.1.6)
group00451,Potassium channel beta chain
group00452,Rod shape-determining protein MreC
group00453,Putrescine transport system permease protein PotH (TC 3.A.1.11.2)
group00454,DNA polymerase IV (EC 2.7.7.7)
group00455,Isocitrate dehydrogenase NADP (EC 1.1.1.42)
group00456,Trk system potassium uptake protein TrkA
group00457,Phosphoglucosamine mutase (EC 5.4.2.10)
group00458,FIG021292: hypothetical protein
group00459,N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)
group00460,DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
group00461,Translation initiation factor 3
group00462,RNA-binding protein Jag
group00463,DNA polymerase III beta subunit (EC 2.7.7.7)
group00464,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)
group00465,Segregation and condensation protein A
group00466,Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)
group00467,"Mg/Co/Ni transporter MgtE, CBS domain-containing"
group00468,Histidinol dehydrogenase (EC 1.1.1.23)
group00469,Heat shock protein GrpE
group00470,Histidinol-phosphate aminotransferase (EC 2.6.1.9)
group00471,Putrescine transport system permease protein PotI (TC 3.A.1.11.2)
group00472,DinG family ATP-dependent helicase YoaA
group00473,hypothetical protein
group00474,Enoyl-CoA hydratase (EC 4.2.1.17)
group00475,Phosphoserine phosphatase (EC 3.1.3.3)
group00476,Trk system potassium uptake protein TrkA
group00477,Transcription termination protein NusA
group00478,"Signal transduction histidine kinase, subgroup 2"
group00479,PLP-dependent aminotransferase NCgl2355 (class III)
group00480,"Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2"
group00481,Anthranilate phosphoribosyltransferase (EC 2.4.2.18)
group00482,HIT family protein
group00483,Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)
group00484,"Ferredoxin, 2Fe-2S"
group00485,FIG01123415: hypothetical protein
group00486,GTP-binding and nucleic acid-binding protein YchF
group00487,Ribokinase (EC 2.7.1.15)
group00488,FIG000506: Predicted P-loop-containing kinase
group00489,"HspR, transcriptional repressor of DnaK operon"
group00490,Orotate phosphoribosyltransferase (EC 2.4.2.10)
group00491,Dephospho-CoA kinase (EC 2.7.1.24)
group00492,LSU ribosomal protein L35p
group00493,None Provided
group00494,"Inner membrane protein translocase component YidC, long form"
group00495,Heat shock protein 60 family co-chaperone GroES
group00496,Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)
group00497,IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)
group00498,None Provided
group00499,Iron-sulfur cluster assembly protein SufB
group00500,"Transcriptional regulator, FUR family"
group00501,Adenylosuccinate lyase (EC 4.3.2.2)
group00502,"Biotin--protein ligase (EC 6.3.4.9, EC 6.3.4.10, EC 6.3.4.11, EC 6.3.4.15)"
group00503,3-to-5 oligoribonuclease (orn)
group00504,Pyridoxamine 5-phosphate oxidase (EC 1.4.3.5)
group00505,Folate-dependent protein for Fe/S cluster synthesis/repair in oxidative stress
group00506,ATP synthase F0 sector subunit c (EC 3.6.3.14)
group00507,ATP synthase F0 sector subunit b (EC 3.6.3.14)
group00508,Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)
group00509,L-aspartate oxidase (EC 1.4.3.16)
group00510,Permease of the drug/metabolite transporter (DMT) superfamily
group00511,Aspartate aminotransferase (AspB-4) (EC 2.6.1.1)
group00512,Phosphoglycerate mutase (EC 5.4.2.11)
group00513,Gamma-glutamyl phosphate reductase (EC 1.2.1.41)
group00514,Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake
group00515,putative cytochrome P450 hydroxylase
group00516,Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)
group00517,Chromosomal replication initiator protein DnaA
group00518,hypothetical protein
group00519,Argininosuccinate lyase (EC 4.3.2.1)
group00520,DNA recombination and repair protein RecF
group00521,ATP-dependent Clp protease adaptor protein ClpS
group00522,"SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-dependent"
group00523,SSU ribosomal protein S9p (S16e)
group00524,Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)
group00525,Septum formation protein Maf
group00526,Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
group00527,"transcriptional regulator, MerR family"
group00528,Thymidylate kinase (EC 2.7.4.9)
group00529,sensor histidine kinase
group00530,RNA binding methyltransferase FtsJ like
group00531,Multidrug resistance protein ErmB
group00532,Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)
group00533,Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)
group00534,Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)
group00535,Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)
group00536,None Provided
group00537,None Provided
group00538,Arsenate reductase (EC 1.20.4.1)
group00539,Alpha-glucosidase (EC 3.2.1.20)
group00540,"Nucleoside ABC transporter, permease protein 2"
group00541,"Nucleoside ABC transporter, permease protein 1"
group00542,"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)"
group00543,SOS-response repressor and protease LexA (EC 3.4.21.88)
group00544,hypothetical protein
group00545,Lauroyl/myristoyl acyltransferase involved in lipid A biosynthesis (Lauroyl/myristoyl acyltransferase)
group00546,Homoserine O-acetyltransferase (EC 2.3.1.31)
group00547,Iron-sulfur cluster assembly protein SufD
group00548,"Transcriptional regulator, IclR family"
group00549,"Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives"
group00550,NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)
group00551,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)
group00552,CarD-like transcriptional regulator
group00553,ATP phosphoribosyltransferase (EC 2.4.2.17)
group00554,2-isopropylmalate synthase (EC 2.3.3.13)
group00555,Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)
group00556,FIG01121484: hypothetical protein
group00557,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
group00558,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
group00559,None Provided
group00560,tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)
group00561,GTP cyclohydrolase I (EC 3.5.4.16) type 1
group00562,Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)
group00563,"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
group00564,N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)
group00565,Acetylglutamate kinase (EC 2.7.2.8)
group00566,None Provided
group00567,Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase
group00568,ABC transporter ATP-binding protein
group00569,Phosphoserine aminotransferase (EC 2.6.1.52)
group00570,Quinolinate phosphoribosyltransferase decarboxylating (EC 2.4.2.19)
group00571,hypothetical protein
group00572,WhiB-like transcription regulator
group00573,Deoxycytidine triphosphate deaminase (EC 3.5.4.13)
group00574,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
group00575,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)"
group00576,Lon-like protease with PDZ domain
group00577,None Provided
group00578,Hemolysins and related proteins containing CBS domains
group00579,"Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)"
group00580,LSU ribosomal protein L13p (L13Ae)
group00581,Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)
group00582,Cysteinyl-tRNA synthetase (EC 6.1.1.16)
group00583,tRNA dihydrouridine synthase B (EC 1.-.-.-)
group00584,Tyrosyl-tRNA synthetase (EC 6.1.1.1)
group00585,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
group00586,probable iron binding protein from the HesB_IscA_SufA family
group00587,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
group00588,Arogenate dehydrogenase (EC 1.3.1.43)
group00589,Endonuclease IV (EC 3.1.21.2)
group00590,Copper resistance protein D
group00591,FIG01121218: hypothetical protein
group00592,None Provided
group00593,Ribonucleotide reductase transcriptional regulator NrdR
group00594,SSU ribosomal protein S11p (S14e)
group00595,SSU ribosomal protein S13p (S18e)
group00596,Ribonuclease PH (EC 2.7.7.56)
group00597,None Provided
group00598,"Rhodanese domain protein UPF0176, Actinobacterial subgroup"
group00599,Glucose-6-phosphate isomerase (EC 5.3.1.9)
group00600,Glycine cleavage system H protein
group00601,Thiamine-monophosphate kinase (EC 2.7.4.16)
group00602,Endonuclease III (EC 4.2.99.18)
group00603,"ABC-type multidrug transport system, permease component"
group00604,None Provided
group00605,hypothetical protein
group00606,Enoyl-acyl-carrier-protein reductase NADH (EC 1.3.1.9)
group00607,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type"
group00608,"NADH:flavin oxidoreductases, Old Yellow Enzyme family"
group00609,DNA-binding response regulator mtrA
group00610,DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)
group00611,Preprotein translocase secY subunit (TC 3.A.5.1.1)
group00612,"Inosine-5-monophosphate dehydrogenase, catalytic domain (EC 1.1.1.205)"
group00613,"LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent"
group00614,Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)
group00615,Adenosine deaminase (EC 3.5.4.4)
group00616,Translation initiation factor 1
group00617,NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)
group00618,LSU ribosomal protein L17p
group00619,tRNA pseudouridine synthase A (EC 4.2.1.70)
group00620,Cytochrome c-type biogenesis protein CcdA (DsbD analog)
group00621,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
group00622,LSU ribosomal protein L34p
group00623,cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
group00624,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)
group00625,Dihydroneopterin aldolase (EC 4.1.2.25)
group00626,None Provided
group00627,None Provided
group00628,Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)
group00629,hypothetical protein
group00630,None Provided
group00631,Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
group00632,6-phosphofructokinase (EC 2.7.1.11)
group00633,Alanine dehydrogenase (EC 1.4.1.1)
group00634,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)
group00635,None Provided
group00636,"Acetyltransferase, GNAT family"
group00637,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
group00638,FIG01122970: hypothetical protein
group00639,probable oxidoreductase/Short-chain dehydrogenase
group00640,None Provided
group00641,NADH dehydrogenase (EC 1.6.99.3)
group00642,None Provided
group00643,Transcription antitermination protein NusG
group00644,Deoxyribose-phosphate aldolase (EC 4.1.2.4)
group00645,None Provided
group00646,None Provided
group00647,"3-oxoacyl-acyl-carrier-protein synthase, KASII (EC 2.3.1.179)"
group00648,Predicted hydrolase of the alpha/beta superfamily
group00649,hypothetical protein
group00650,hypothetical protein
group00651,Permease of the drug/metabolite transporter (DMT) superfamily
group00652,NADP-dependent malic enzyme (EC 1.1.1.40)
group00653,tRNA-guanine transglycosylase (EC 2.4.2.29)
group00654,"Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)"
group00655,FIG000325: clustered with transcription termination protein NusA
group00656,Protein rarD
group00657,ATPase involved in DNA repair
group00658,tmRNA-binding protein SmpB
group00659,Twin-arginine translocation protein TatA
group00660,LemA protein
group00661,putative succinate dehydrogenase membrane anchor subunit (succinic dehydrogenase)
group00662,Cytidine deaminase (EC 3.5.4.5)
group00663,"Electron transfer flavoprotein, beta subunit"
group00664,Permease of the drug/metabolite transporter (DMT) superfamily
group00665,Phosphoserine phosphatase (EC 3.1.3.3)
group00666,LSU ribosomal protein L10p (P0)
group00667,Protein YidD
group00668,None Provided
group00669,LSU ribosomal protein L11p (L12e)
group00670,CDP-4-dehydro-6-deoxy-D-glucose 3-dehydratase (EC 4.2.1.-)
group00671,WhiB-family transcriptional regulator
group00672,Lipase/esterase
group00673,hypothetical protein
group00674,Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)
group00675,None Provided
group00676,Predicted ATPase related to phosphate starvation-inducible protein PhoH
group00677,Uncharacterized protein Q1 colocalized with Q
group00678,hypothetical protein
group00679,"3-oxoacyl-acyl-carrier-protein synthase, KASIII (EC 2.3.1.180)"
group00680,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
group00681,None Provided
group00682,"Electron transfer flavoprotein, alpha subunit"
group00683,Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)
group00684,None Provided
group00685,Phytoene synthase (EC 2.5.1.32)
group00686,UDP-glucose 4-epimerase (EC 5.1.3.2)
group00687,None Provided
group00688,Adenylate kinase (EC 2.7.4.3)
group00689,None Provided
group00690,Putative nucleoside-diphosphate-sugar epimerase
group00691,NADH pyrophosphatase (EC 3.6.1.22)
group00692,None Provided
group00693,Glutamine synthetase type I (EC 6.3.1.2)
group00694,None Provided
group00695,"ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit"
group00696,Fe-S oxidoreductase
group00697,O-antigen acetylase
group00698,Purine nucleoside phosphorylase (EC 2.4.2.1)
group00699,"Arginase/agmatinase/formimionoglutamate hydrolase, arginase family"
group00700,Thymidylate synthase thyX (EC 2.1.1.-)
group00701,Phytoene dehydrogenase (EC 1.14.99.-)
group00702,None Provided
group00703,hypothetical protein
group00704,probable DNA-binding protein
group00705,DNA repair helicase
group00706,Sulfur carrier protein adenylyltransferase ThiF
group00707,FIG137478: Hypothetical protein
group00708,COG1496: Uncharacterized conserved protein
group00709,Translation elongation factor G
group00710,possible chromosome condensation protein
group00711,None Provided
group00712,Cytosine/purine/uracil/thiamine/allantoin permease family protein
group00713,None Provided
group00714,Phytoene dehydrogenase (EC 1.14.99.-)
group00715,LSU ribosomal protein L15p (L27Ae)
group00716,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
group00717,"FIG007959: peptidase, M16 family"
group00718,None Provided
group00719,putative electron transport protein
group00720,"Arginine pathway regulatory protein ArgR, repressor of arg regulon"
group00721,Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)
group00722,Thymidine kinase (EC 2.7.1.21)
group00723,Phosphomannomutase (EC 5.4.2.8)
group00724,Holo-acyl-carrier protein synthase (EC 2.7.8.7)
group00725,Uncharacterized protein Rv0487/MT0505 clustered with mycothiol biosynthesis gene
group00726,Octanoate-acyl-carrier-protein-protein-N-octanoyltransferase
group00727,Aquaporin Z
group00728,None Provided
group00729,None Provided
group00730,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)
group00731,Aminotransferase class-III
group00732,Transamidase GatB domain protein
group00733,Chaperone protein DnaJ
group00734,Glutamate racemase (EC 5.1.1.3)
group00735,"Hypothetical, related to broad specificity phosphatases COG0406"
group00736,Cytochrome c-type biogenesis protein CcsA/ResC
group00737,ComA operon protein 2
group00738,Translation elongation factor Tu
group00739,Pyrophosphate-energized proton pump (EC 3.6.1.1)
group00740,Alcohol dehydrogenase (EC 1.1.1.1)
group00741,Chorismate mutase II (EC 5.4.99.5)
group00742,Permeases of the major facilitator superfamily
group00743,None Provided
group00744,Inositol-1-phosphate synthase (EC 5.5.1.4)
group00745,FIG00031715: Predicted metal-dependent phosphoesterases (PHP family)
group00746,None Provided
group00747,Twin-arginine translocation protein TatB
group00748,SpoU rRNA methylase family protein
group00749,None Provided
group00750,Malate dehydrogenase (EC 1.1.1.37)
group00751,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)
group00752,ATP-dependent DNA helicase SCO5184
group00753,CONSERVED MEMBRANE PROTEIN
group00754,Substrate-specific component BioY of biotin ECF transporter
group00755,"FIG01964566: Predicted membrane protein, hemolysin III homolog"
group00756,Fumarate hydratase class I (EC 4.2.1.2)
group00757,"LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-dependent"
group00758,O-succinylbenzoate synthase (EC 4.2.1.113)
group00759,Inorganic pyrophosphatase (EC 3.6.1.1)
group00760,None Provided
group00761,"polar amino acid ABC transporter, inner membrane subunit"
group00762,transmembrane efflux protein
group00763,Thymidine phosphorylase (EC 2.4.2.4)
group00764,LSU ribosomal protein L30p (L7e)
group00765,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
group00766,None Provided
group00767,Uracil phosphoribosyltransferase (EC 2.4.2.9)
group00768,"Glycosyl transferase, family 2"
group00769,"membrane protein, putative"
group00770,hypothetical protein
group00771,LSU ribosomal protein L7/L12 (P1/P2)
group00772,"Transcriptional regulator, AsnC family"
group00773,Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)
group00774,Proteorhodopsin
group00775,FIG011121: hypothetical protein
group00776,probable exported protease EC:3.4.-.-
group00777,hypothetical protein
group00778,"Transcriptional regulator, MarR family"
group00779,ATP synthase protein I
group00780,Beta-carotene ketolase
group00781,None Provided
group00782,None Provided
group00783,Low-specificity L-threonine aldolase (EC 4.1.2.48)
group00784,Molybdopterin biosynthesis protein MoeA
group00785,None Provided
group00786,Carboxynorspermidine dehydrogenase
group00787,"Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)"
group00788,"Transmembrane protein MT2276, clustered with lipoate gene"
group00789,Glutamine synthetase type I (EC 6.3.1.2)
group00790,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)"
